,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Bluesman,Bluesman,Baco Exu do Blues,2018-11-23,173381,53,0.607,0.157,0.607,0.763,2.4e-05,0.366,-5.529,0.578,149.838,4
1,Passando a Limpo,Passando a Limpo,Coruja Bc1,2016-12-14,209673,36,0.644,0.487,0.644,0.696,0.0,0.321,-4.915,0.348,85.702,4
2,Emhfm,Mixtape Eu e a Minha Habitual Falta de Moderação,Gigante No Mic,2018-05-01,234680,12,0.438,0.153,0.438,0.896,0.0,0.102,-2.585,0.357,90.135,4
3,Alma Velha,Alma Velha,Gigante No Mic,2021-04-08,313959,16,0.685,0.693,0.685,0.491,0.0,0.0961,-9.284,0.273,86.079,4
4,A. P. E. N. D. I. C. E.,A. P. E. N. D. I. C. E.,Gigante No Mic,2017-08-23,224033,7,0.365,0.236,0.365,0.768,0.0,0.311,-8.046,0.295,81.037,4
5,"Labirinto Mental, Pt. 2","Labirinto Mental, Pt. 2",Gigante No Mic,2017-10-05,234294,9,0.608,0.465,0.608,0.695,0.0,0.201,-7.122,0.317,85.446,4
6,A Loucura dos Sábios,Mixtape Eu e a Minha Habitual Falta de Moderação,Gigante No Mic,2018-05-01,288000,30,0.668,0.162,0.668,0.927,0.0,0.103,-3.464,0.191,89.978,4
7,Vale das Sombras,Realismo Sujo,Gigante No Mic,2020-09-11,284587,28,0.657,0.54,0.657,0.634,0.0,0.111,-8.366,0.207,73.927,4
8,Cuidado Onde Pisa,Cuidado Onde Pisa,Rap Box,2020-09-01,259357,11,0.713,0.699,0.713,0.819,0.00105,0.142,-6.926,0.261,173.976,4
9,2040,2040,Gigante No Mic,2020-07-24,198790,5,0.565,0.546,0.565,0.685,0.0,0.0937,-6.955,0.229,173.661,4
10,Acidente de Percurso,Acidente de Percurso,Gigante No Mic,2020-05-12,206295,12,0.632,0.641,0.632,0.762,0.0,0.0628,-6.084,0.282,178.01,4
11,O Ovo da Serpente,O Ovo da Serpente,Gigante No Mic,2018-12-20,192086,6,0.799,0.367,0.799,0.537,0.0,0.141,-6.536,0.325,76.95,4
12,Caviar do Irã,Caviar do Irã,Gigante No Mic,2018-08-21,206333,11,0.737,0.449,0.737,0.555,0.0,0.0816,-6.612,0.438,90.352,4
13,Me Engrana Que Eu Gosto,Me Engrana Que Eu Gosto,Gigante No Mic,2017-11-10,223058,5,0.73,0.565,0.73,0.631,0.0,0.0992,-5.707,0.311,85.125,4
14,Ser Humano,Epopéia da Poeira Cósmica,Fabio Brazza,2017-11-23,213354,0,0.697,0.266,0.697,0.836,0.0,0.115,-3.883,0.39,90.131,4
15,Ainda Há Tempo,Ainda Há Tempo,Criolo,2016-05-06,318080,0,0.707,0.298,0.707,0.797,1.12e-06,0.0658,-7.489,0.322,82.064,4
16,NDDN,NDDN,Coruja Bc1,2017-11-01,163844,0,0.713,0.0504,0.713,0.447,0.0,0.26,-12.733,0.589,83.735,4
17,Não Existe Amor em Sp,Nó na Orelha,Criolo,2011-12-14,280032,0,0.604,0.391,0.604,0.412,0.016,0.0759,-9.527,0.0422,142.002,4
18,Estopim,Estopim,Various Artists,2016-08-22,284700,40,0.646,0.351,0.646,0.84,0.0,0.0366,-5.691,0.336,179.931,4
19,"Mandume (feat. Drik Barbosa, Raphão Alaafin, Muzzike, Amiri, Coruja BC1, Rico Dalasam & Rashid) - Ao Vivo",10 Anos de Triunfo (Ao Vivo),Emicida,2018-04-21,647666,34,0.586,0.442,0.586,0.906,0.0,0.979,-6.322,0.595,144.757,4
20,Inácio da Catingueira,Inácio da Catingueira,Emicida,2018-09-18,235413,0,0.698,0.368,0.698,0.551,0.0,0.0752,-8.826,0.394,87.744,4
