,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Running With The Wolves,All My Demons Greeting Me As A Friend (Deluxe),AURORA,2016-03-11,194760,60,0.531,0.253,0.531,0.568,7.7e-05,0.26,-5.53,0.0571,164.127,4
1,Sign of the Times,Harry Styles,Harry Styles,2017-05-12,340706,83,0.516,0.0275,0.516,0.595,0.0,0.109,-4.63,0.0313,119.972,4
2,Runaway,All My Demons Greeting Me As A Friend (Deluxe),AURORA,2016-03-11,248826,78,0.422,0.629,0.422,0.302,7.83e-05,0.104,-9.214,0.0372,114.089,4
3,Million Reasons,Joanne (Deluxe),Lady Gaga,2016-10-21,205280,0,0.668,0.477,0.668,0.449,0.0,0.107,-7.897,0.0451,129.889,4
4,If I Get High,Nothing But Thieves (Deluxe),Nothing But Thieves,2015-10-16,206560,54,0.441,0.0104,0.441,0.57,0.0146,0.123,-5.584,0.032,139.876,4
5,Every Breath You Take,Every Breath You Take,Chase Holfelder,2014-11-06,166314,20,0.338,0.103,0.338,0.429,2.59e-06,0.122,-8.517,0.033,146.054,4
6,Hunger Of The Pine,This Is All Yours,alt-J,2014-09-22,299710,0,0.6,0.776,0.6,0.416,0.0265,0.109,-9.553,0.0257,93.625,4
7,The Village,The Village,Wrabel,2017-07-27,230293,65,0.55,0.534,0.55,0.363,0.0,0.128,-7.326,0.0336,121.94,4
8,Sorry,hopeless fountain kingdom (Deluxe),Halsey,2017-06-02,220540,0,0.447,0.912,0.447,0.257,0.0,0.117,-9.172,0.0394,136.87,1
9,Wildfire,Tell Me It's Real (Expanded Edition),Seafret,2016-01-29,224800,57,0.587,0.252,0.587,0.58,0.00243,0.105,-7.867,0.0329,131.953,4
10,The Scientist,A Rush of Blood to the Head,Coldplay,2002-08-08,309600,83,0.557,0.731,0.557,0.442,1.46e-05,0.11,-7.224,0.0243,146.277,4
11,People Help the People,Birdy,Birdy,2011-11-04,256236,63,0.407,0.778,0.407,0.308,1.46e-05,0.092,-9.001,0.0296,73.254,3
12,Unbreakable,My Hurricane,Jamie Scott,2015-04-14,265106,48,0.632,0.693,0.632,0.445,0.00397,0.11,-9.52,0.0274,102.52,4
13,I'll Be Good,Feel Something,Jaymes Young,2017-06-23,247346,64,0.389,0.698,0.389,0.277,0.0,0.0966,-10.757,0.0323,89.32,4
14,Oceans,Tell Me It's Real (Expanded Edition),Seafret,2016-01-29,215440,63,0.372,0.267,0.372,0.462,9.91e-06,0.101,-9.1,0.0317,129.026,3
15,Atlantis,Tell Me It's Real (Expanded Edition),Seafret,2016-01-29,229173,75,0.4,0.0529,0.4,0.479,2.14e-06,0.115,-7.989,0.0308,166.159,4
16,Be There,Tell Me It's Real (Expanded Edition),Seafret,2016-01-29,195040,50,0.376,0.0364,0.376,0.474,4.4e-06,0.114,-9.436,0.0338,180.196,3
17,Can't Pretend,Long Way Down (Deluxe),Tom Odell,2013-06-24,217840,64,0.468,0.278,0.468,0.473,0.00061,0.117,-8.503,0.0281,79.055,4
18,Brother,Brother,Kodaline,2017-07-01,201980,0,0.493,0.341,0.493,0.636,0.0,0.201,-5.894,0.049,120.136,4
