,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,the end of all our exploring,The Leftovers (Music from the HBO® Series) Season 3,Max Richter,2017-06-02,215333,0,0.507,0.995,0.507,0.0249,0.931,0.0944,-32.35,0.0409,149.976,4
1,The Departure,The Leftovers (Music from the HBO® Series) Season 1,Max Richter,2014-12-02,75849,0,0.384,0.996,0.384,0.00341,0.943,0.0964,-39.053,0.0447,116.941,4
2,"Comptine d'un autre été, l'après-midi",Amelie from Montmartre (Original SoundTrack),Yann Tiersen,2001-04-23,140733,14,0.484,0.991,0.484,0.192,0.908,0.106,-15.378,0.0465,100.084,4
3,"Piano Concerto No. 22 in E-Flat Major, K. 482: III. Allegro - Andantino cantabile - Primo tempo","Mozart: Piano Concertos, Vol. 6",Wolfgang Amadeus Mozart,1995-11-01,675360,0,0.268,0.99,0.268,0.113,0.934,0.121,-22.509,0.0417,92.943,4
4,Concerto for Piano and Orchestra No. 23 in A major: II. Adagio,Mozart: Piano Concertos 9 & 23,Wolfgang Amadeus Mozart,2006-10-01,417680,43,0.208,0.989,0.208,0.0133,0.919,0.234,-28.633,0.0362,85.135,3
5,"Trio Kegelstatt, K 498: Rondeaux","Wolfgang Amadeus Mozart: Clarinet Quintet K581, Trio ""Les Quilles"" K498",Wolfgang Amadeus Mozart,1993-03-16,493266,0,0.366,0.992,0.366,0.174,0.869,0.26,-22.039,0.0365,134.909,4
6,"Piano Concerto No.20 in D minor, K.466: 2. Romance - Live At Severance Hall, Cleveland / 2010","Mozart: Piano Concertos No.20 in D minor, K.466 & No.27 in B flat, K.595",Wolfgang Amadeus Mozart,2010-01-01,575760,0,0.209,0.988,0.209,0.0314,0.84,0.102,-26.249,0.0343,81.629,4
7,Etude No. 2,Etudes for Piano Vol 1 No. 1-10,Philip Glass,2001-05-01,295560,49,0.235,0.992,0.235,0.166,0.87,0.101,-19.632,0.0347,101.182,4
8,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante","Mozart: Piano Concertos, Vol. 6",Wolfgang Amadeus Mozart,1995-11-01,433800,7,0.194,0.982,0.194,0.0324,0.961,0.0916,-28.215,0.0382,144.13,4
9,"Danse macabre in G Minor, Op. 40",Saint-Saens: Symphony No. 3 / Piano Concerto No. 2,Camille Saint-Saëns,1996-12-31,432133,52,0.442,0.906,0.442,0.181,0.656,0.0598,-20.419,0.0443,115.884,4
10,"Chopin: Ballade No. 1 in G Minor, Op. 23","Chopin ""journal intime""",Frédéric Chopin,2009-11-23,539533,45,0.219,0.993,0.219,0.245,0.892,0.109,-14.514,0.0398,67.845,3
11,The Opening,Ganglion,Saltillo,2006,169800,22,0.425,0.102,0.425,0.714,0.479,0.101,-7.968,0.0883,69.956,4
12,"Cello Concerto No. 1 in A Minor, Op. 33: I. Allegro non troppo",Saint-Saëns: Cello Concerto No.1 - Sonatas Nos. 2 & 3,Camille Saint-Saëns,2017-01-27,341920,12,0.268,0.965,0.268,0.0726,0.867,0.114,-22.584,0.0437,130.796,3
13,La Valse d'Amélie - Version piano,Amelie from Montmartre (Original SoundTrack),Yann Tiersen,2001-04-23,158666,7,0.194,0.988,0.194,0.179,0.86,0.0819,-16.836,0.0413,177.667,3
14,I've Never Been There,Cascade Street,Yann Tiersen,1996,95093,0,0.638,0.926,0.638,0.384,0.341,0.44,-7.193,0.047,99.967,4
15,Les Jours tristes - Instrumental,Amelie from Montmartre (Original SoundTrack),Yann Tiersen,2001-04-23,183466,3,0.734,0.807,0.734,0.339,0.186,0.0801,-8.123,0.0325,100.104,3
